forest_type,zone_area_ha,forest_area_2019_ha,forest_area_2023_ha,delta_forest_area_ha,mean_agb_2019_Mg_ha,mean_agb_2023_Mg_ha,delta_mean_agb_Mg_ha,total_agb_2019_Mg,total_agb_2023_Mg,delta_total_agb_Mg,mean_co2_2019_Mg_ha,mean_co2_2023_Mg_ha,delta_mean_co2_Mg_ha,total_co2_2019_Mg,total_co2_2023_Mg,delta_total_co2_Mg
Deciduous,954251.620874519,762410.6945801134,835279.1129210467,72868.41834093328,145.3894489162653,152.67232524875763,7.282876332492322,1.2384442666127321E8,1.3747969297633088E8,1.3635266315057665E7,245.36316402657258,255.99736008198246,10.634196055409888,2.0900320030786955E8,2.3052269462491038E8,2.151949431704083E7
Evergreen,589492.9198941878,530684.2980567274,544686.4701853495,14002.17212862207,205.67452334180746,208.38061643632892,2.7060930945214636,1.1650310078395003E8,1.190665727788274E8,2563471.994877368,354.3859300716296,360.0703746914485,5.684444619818862,2.0073978550127095E8,2.0574053777105805E8,5000752.269787103
