variable,n_pixels,mean,std_dev,std_error,ci95_margin,lower_95ci,upper_95ci,cv_percent
AGB_2019_Mg_ha,2212578.186610077,164.90311772516057,52.35736650481494,0.03519885050324737,0.06898974698636484,164.8341279781742,164.97210747214694,31.750379997106847
AGB_2023_Mg_ha,2212578.186610077,168.9323691985694,50.90893432712161,0.034225097408121165,0.06708119091991749,168.8652880076495,168.9994503894893,30.135689547620885
CO2_2019_Mg_ha,2212578.186610077,281.37378482903625,90.5792638755286,0.060894696977467765,0.11935360607583681,281.2544312229604,281.4931384351121,32.19179211402544
CO2_2023_Mg_ha,2212578.186610077,287.4743402676838,88.2941091820397,0.059358431427795545,0.11634252559847927,287.3579977420853,287.59068279328227,30.71373573718754
