agbd_observed,agb_predicted,residual,abs_residual,pct_error
248.46747,220.01631,-28.451156616210938,28.451156616210938,-11.45065662529407
333.6042,225.51915,-108.08503723144531,108.08503723144531,-32.39918485425021
186.7515,156.50632,-30.24517822265625,30.24517822265625,-16.19541421295592
201.93834,183.0283,-18.9100341796875,18.9100341796875,-9.364261512436952
232.50317,231.59196,-0.9112091064453125,0.9112091064453125,-0.39191254529665565
202.17175,178.79762,-23.374130249023438,23.374130249023438,-11.561521285890334
288.35382,175.31752,-113.03630065917969,113.03630065917969,-39.20055588140604
249.34694,183.68376,-65.66317749023438,65.66317749023438,-26.334061982347563
302.81967,204.95534,-97.86433410644531,97.86433410644531,-32.31769375463264
324.2361,227.53548,-96.70063781738281,96.70063781738281,-29.824141572236957
283.9875,226.46115,-57.526336669921875,57.526336669921875,-20.256644796921286
283.9875,209.36427,-74.62321472167969,74.62321472167969,-26.27693751637437
297.00552,197.45874,-99.54678344726562,99.54678344726562,-33.516812149921336
190.37192,223.51357,33.14164733886719,33.14164733886719,17.408895038190273
121.96681,245.2643,123.2974853515625,123.2974853515625,101.09101254225928
198.14563,228.90096,30.755325317382812,30.755325317382812,15.521576395892334
260.59622,184.68886,-75.90736389160156,75.90736389160156,-29.128343968773716
244.00497,198.09923,-45.90574645996094,45.90574645996094,-18.813446971473525
203.09067,197.22098,-5.86968994140625,5.86968994140625,-2.8901820094291777
223.31429,247.33537,24.021087646484375,24.021087646484375,10.756628317147959
256.46188,194.14328,-62.318603515625,62.318603515625,-24.2993627958399
317.59995,216.17456,-101.42538452148438,101.42538452148438,-31.934950272001416
253.91626,193.42854,-60.48771667480469,60.48771667480469,-23.821915434103076
214.32147,223.92445,9.602981567382812,9.602981567382812,4.480643712570587
253.71732,228.53552,-25.181793212890625,25.181793212890625,-9.925137803863429
171.622,203.51859,31.896591186523438,31.896591186523438,18.585375009146542
276.94504,207.62958,-69.31546020507812,69.31546020507812,-25.02859800097742
308.1265,231.85693,-76.26956176757812,76.26956176757812,-24.752678823721322
132.92667,155.00684,22.080169677734375,22.080169677734375,16.61079021916133
174.91663,194.36145,19.44482421875,19.44482421875,11.116624340418879
256.82794,198.02322,-58.804718017578125,58.804718017578125,-22.896542168969614
263.6483,194.80261,-68.84567260742188,68.84567260742188,-26.112695036257293
262.19345,218.39839,-43.79505920410156,43.79505920410156,-16.703338336308153
301.6326,226.30669,-75.32591247558594,75.32591247558594,-24.97273595627312
103.118034,138.17781,35.059776306152344,35.059776306152344,33.999655368530384
369.37167,223.56879,-145.80288696289062,145.80288696289062,-39.4732182758295
241.84047,195.63834,-46.20213317871094,46.20213317871094,-19.104384514681037
30.194342,146.92381,116.72947120666504,116.72947120666504,386.59386093871393
45.918633,141.7117,95.7930679321289,95.7930679321289,208.614809939842
153.15309,193.71214,40.559051513671875,40.559051513671875,26.482685484696137
299.06558,224.05148,-75.01409912109375,75.01409912109375,-25.082825830495597
123.549774,106.29018,-17.259597778320312,17.259597778320312,-13.969752591034807
197.1081,132.62251,-64.48558044433594,64.48558044433594,-32.71584610110983
276.65753,146.08844,-130.569091796875,130.569091796875,-47.19520591992909
182.38033,190.52856,8.148239135742188,8.148239135742188,4.467718281323612
274.97812,200.67548,-74.30264282226562,74.30264282226562,-27.021292865210444
199.31401,200.42749,1.1134796142578125,1.1134796142578125,0.5586559674322397
133.44159,178.78027,45.33868408203125,45.33868408203125,33.97642691534172
276.41708,190.21846,-86.19862365722656,86.19862365722656,-31.184260571330153
192.45636,195.27934,2.8229827880859375,2.8229827880859375,1.4668170956217563
192.45636,210.52249,18.066131591796875,18.066131591796875,9.387131505880525
190.14532,193.408,3.2626800537109375,3.2626800537109375,1.7158876026733512
208.45291,207.1932,-1.25970458984375,1.25970458984375,-0.6043113437575259
225.29317,211.21785,-14.0753173828125,14.0753173828125,-6.247556267729229
279.9184,168.94775,-110.97064208984375,110.97064208984375,-39.64392611459246
122.72327,159.48605,36.762786865234375,36.762786865234375,29.955841205392357
195.8398,186.47476,-9.365036010742188,9.365036010742188,-4.781988190165037
21.90055,72.74531,50.844757080078125,50.844757080078125,232.1620010666949
33.313194,102.477516,69.16432189941406,69.16432189941406,207.61840287264621
100.974144,117.44114,16.466995239257812,16.466995239257812,16.308130566775695
265.09763,151.46259,-113.63504028320312,113.63504028320312,-42.86535572291449
273.00543,202.21057,-70.79486083984375,70.79486083984375,-25.93166747188247
148.33684,134.5796,-13.757232666015625,13.757232666015625,-9.274319766395859
129.15855,152.58614,23.427581787109375,23.427581787109375,18.138621908941246
256.22467,176.06842,-80.15625,80.15625,-31.283580098547283
143.76668,180.70901,36.94233703613281,36.94233703613281,25.696035817855282
198.4541,171.33524,-27.118865966796875,27.118865966796875,-13.665056934213183
189.95433,179.83008,-10.124252319335938,10.124252319335938,-5.329834963832393
147.84596,159.64503,11.799072265625,11.799072265625,7.980652338528757
111.35146,163.32825,51.976783752441406,51.976783752441406,46.678132647493925
238.31407,150.8717,-87.44236755371094,87.44236755371094,-36.69207065548284
161.46187,130.4774,-30.984466552734375,30.984466552734375,-19.18995914120454
